Term	TermFreq >= 1	PosClassDiff (correct-estimate)	NegClassDiff	PosClassAvDiff	NegClassAvDiff	CorrectClass1pos	CorrectClass2pos	CorrectClass3pos	CorrectClass4pos	CorrectClass5pos	CorrectClass1neg	CorrectClass2neg	CorrectClass3neg	CorrectClass4neg	CorrectClass5neg	
gsm	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
isn't	24	-1	4	-0.041666668	0.16666667	15	3	5	1	0	12	10	1	1	0	
in	511	25	21	0.04892368	0.04109589	299	168	42	2	0	310	175	22	3	1	
the	1503	92	104	0.06121091	0.06919494	941	463	98	0	1	922	471	91	17	2	
original	8	2	0	0.25	0.0	5	2	1	0	0	5	2	1	0	0	
list	20	1	1	0.05	0.05	15	4	1	0	0	14	5	1	0	0	
which	87	5	2	0.057471264	0.022988506	47	29	11	0	0	54	30	3	0	0	
is	662	50	52	0.0755287	0.07854985	386	214	61	1	0	372	235	43	12	0	
why	81	3	2	0.037037037	0.024691358	50	26	5	0	0	56	23	1	1	0	
it	521	22	33	0.042226486	0.06333973	289	172	57	3	0	317	167	31	6	0	
enum	9	0	4	0.0	0.44444445	5	4	0	0	0	4	3	2	0	0	
.	1780	107	110	0.06011236	0.061797753	1099	543	130	8	0	1109	540	103	27	1	
yeah	13	1	0	0.07692308	0.0	10	3	0	0	0	9	2	1	0	1	
,	939	72	51	0.076677315	0.0543131	528	304	101	6	0	562	291	71	12	3	
we	294	18	20	0.06122449	0.06802721	170	89	35	0	0	168	108	15	2	1	
can	153	14	14	0.09150327	0.09150327	96	38	18	0	1	93	45	12	2	1	
file	73	7	6	0.09589041	0.08219178	39	26	8	0	0	52	16	4	1	0	
a	571	38	39	0.06654991	0.06830122	311	196	61	3	0	326	206	25	14	0	
bug	16	0	1	0.0	0.0625	10	6	0	0	0	8	8	0	0	0	
against	7	0	0	0.0	0.0	3	4	0	0	0	0	5	0	2	0	
android	2	0	0	0.0	0.0	2	0	0	0	0	1	1	0	0	0	
or	125	9	6	0.072	0.048	80	37	7	1	0	62	49	11	2	1	
just	134	8	8	0.05970149	0.05970149	86	39	9	0	0	84	41	6	3	0	
