Term	TermFreq >= 1	PosClassDiff (correct-estimate)	NegClassDiff	PosClassAvDiff	NegClassAvDiff	CorrectClass1pos	CorrectClass2pos	CorrectClass3pos	CorrectClass4pos	CorrectClass5pos	CorrectClass1neg	CorrectClass2neg	CorrectClass3neg	CorrectClass4neg	CorrectClass5neg	
gsm	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
isn't	30	1	4	0.033333335	0.13333334	19	5	0	5	1	16	12	1	1	0	
in	677	48	47	0.070901036	0.06942393	394	223	22	34	4	401	228	42	5	1	
the	2036	195	188	0.09577603	0.092337914	1241	637	72	79	7	1172	658	181	23	2	
original	11	3	1	0.27272728	0.09090909	6	4	1	0	0	5	2	4	0	0	
list	33	2	1	0.060606062	0.030303031	25	6	1	1	0	23	9	1	0	0	
which	113	10	7	0.088495575	0.061946902	60	41	5	7	0	66	40	6	1	0	
is	902	82	88	0.09090909	0.09756097	524	294	37	45	2	483	333	70	16	0	
why	110	3	2	0.027272727	0.018181818	74	30	3	3	0	76	31	2	1	0	
it	723	46	52	0.06362379	0.07192255	415	231	36	37	4	428	233	54	8	0	
enum	10	0	4	0.0	0.4	6	4	0	0	0	4	3	2	1	0	
.	2424	180	179	0.074257426	0.07384489	1496	734	81	104	9	1452	752	183	35	2	
since	61	5	6	0.08196721	0.09836066	40	16	2	2	1	36	19	5	1	0	
we	413	40	37	0.0968523	0.08958838	244	121	23	23	2	221	164	22	5	1	
are	208	19	25	0.09134615	0.120192304	135	54	7	11	1	115	73	17	3	0	
not	428	41	40	0.095794395	0.093457945	265	127	17	17	2	272	118	31	5	2	
really	42	3	2	0.071428575	0.04761905	21	13	3	5	0	24	13	4	1	0	
using	64	4	7	0.0625	0.109375	36	20	2	6	0	40	20	3	1	0	
any	59	1	5	0.016949153	0.084745765	38	11	4	6	0	32	22	4	1	0	
methods	24	2	1	0.083333336	0.041666668	14	9	0	1	0	16	8	0	0	0	
from	154	17	19	0.11038961	0.12337662	103	42	3	5	1	94	46	14	0	0	
collections	3	0	0	0.0	0.0	2	0	0	1	0	2	1	0	0	0	
,	1277	126	97	0.098668754	0.07595928	732	403	56	79	7	725	415	118	16	3	
and	589	51	43	0.08658744	0.073005095	364	180	18	26	1	352	200	35	2	0	
only	151	25	13	0.16556291	0.08609272	81	54	9	5	2	89	50	7	4	1	
iterating	1	0	0	0.0	0.0	0	0	0	1	0	1	0	0	0	0	
through	12	0	4	0.0	0.33333334	9	2	0	1	0	7	2	3	0	0	
elements	5	-1	1	-0.2	0.2	3	1	0	1	0	2	3	0	0	0	
having	24	3	2	0.125	0.083333336	15	5	1	2	1	15	7	2	0	0	
string	47	0	3	0.0	0.06382979	26	19	0	2	0	28	18	0	1	0	
arrays	3	0	0	0.0	0.0	0	2	0	1	0	3	0	0	0	0	
good	65	-1	10	-0.015384615	0.15384616	0	0	0	60	5	40	19	5	1	0	
enough	23	0	4	0.0	0.17391305	18	0	0	5	0	13	5	4	1	0	
very	18	2	0	0.11111111	0.0	8	6	1	1	2	10	5	2	1	0	
much	24	1	1	0.041666668	0.041666668	12	10	1	1	0	11	12	0	1	0	
prefer	36	9	13	0.25	0.3611111	20	14	0	2	0	21	11	4	0	0	
to	1280	90	120	0.0703125	0.09375	774	391	35	76	4	707	439	113	20	1	
record	4	0	0	0.0	0.0	3	1	0	0	0	2	1	1	0	0	
that	575	68	50	0.11826087	0.08695652	337	172	25	39	2	309	198	57	11	0	
information	18	2	2	0.11111111	0.11111111	11	5	2	0	0	8	9	1	0	0	
source	11	0	0	0.0	0.0	9	2	0	0	0	0	11	0	0	0	
tree	17	2	0	0.11764706	0.0	13	3	1	0	0	10	6	0	1	0	
change	135	5	8	0.037037037	0.05925926	94	32	5	4	0	97	25	13	0	0	
history	3	0	0	0.0	0.0	3	0	0	0	0	1	2	0	0	0	
contains	7	0	0	0.0	0.0	6	0	0	1	0	6	1	0	0	0	
yeah	14	2	0	0.14285715	0.0	10	4	0	0	0	9	2	2	0	1	
can	205	19	21	0.09268293	0.10243902	129	57	4	14	1	116	70	14	4	1	
file	106	13	13	0.12264151	0.12264151	60	35	3	8	0	69	27	7	2	1	
a	794	77	75	0.09697733	0.09445844	451	250	35	53	5	431	294	51	17	1	
bug	25	1	2	0.04	0.08	15	10	0	0	0	0	22	3	0	0	
against	8	0	0	0.0	0.0	3	5	0	0	0	0	6	0	2	0	
android	2	0	0	0.0	0.0	2	0	0	0	0	1	1	0	0	0	
or	166	13	8	0.078313254	0.04819277	105	50	4	6	1	80	67	16	2	1	
just	178	12	13	0.06741573	0.073033705	117	51	5	5	0	107	54	14	3	0	
fix	37	4	1	0.10810811	0.027027028	22	10	1	4	0	1	3	31	2	0	
submit	11	9	9	0.8181818	0.8181818	3	7	0	1	0	3	4	4	0	0	
patch	133	46	44	0.34586465	0.33082706	64	42	8	19	0	63	53	15	2	0	
when	115	10	9	0.08695652	0.07826087	69	34	6	4	2	63	40	10	1	1	
i	729	72	88	0.09876543	0.12071331	433	223	25	43	5	411	237	61	19	1	
was	122	10	19	0.08196721	0.1557377	79	29	8	6	0	61	51	7	3	0	
suggesting	3	2	1	0.6666667	0.33333334	2	0	1	0	0	2	1	0	0	0	
flipping	1	2	1	2.0	1.0	0	0	1	0	0	0	1	0	0	0	
boolean	7	3	3	0.42857143	0.42857143	4	2	1	0	0	3	4	0	0	0	
did	25	5	1	0.2	0.04	10	12	2	1	0	15	7	3	0	0	
also	92	10	9	0.10869565	0.097826086	57	25	5	5	0	56	26	7	3	0	
wonder	10	1	1	0.1	0.1	6	2	1	1	0	5	3	2	0	0	
whether	24	4	1	0.16666667	0.041666668	12	8	3	1	0	11	9	4	0	0	
wouldn't	16	3	1	0.1875	0.0625	8	5	2	1	0	10	6	0	0	0	
be	584	37	31	0.06335616	0.05308219	360	173	14	34	3	375	157	48	4	0	
better	64	6	6	0.09375	0.09375	43	17	2	1	1	42	17	3	2	0	
off	11	6	2	0.54545456	0.18181819	2	5	4	0	0	4	6	1	0	0	
passing	7	2	1	0.2857143	0.14285715	4	2	1	0	0	2	5	0	0	0	
length	22	2	1	0.09090909	0.045454547	11	7	1	3	0	8	6	8	0	0	
if	332	34	35	0.10240964	0.105421685	195	103	14	19	1	179	114	31	8	0	
it's	128	9	9	0.0703125	0.0703125	73	42	8	4	1	72	39	16	1	0	
<	19	9	4	0.47368422	0.21052632	9	6	2	2	0	13	5	1	0	0	
0	49	0	3	0.0	0.06122449	41	7	1	0	0	33	11	5	0	0	
interpret	3	2	1	0.6666667	0.33333334	1	1	1	0	0	1	2	0	0	0	
as	275	21	21	0.07636364	0.07636364	181	75	11	8	0	156	97	21	1	0	
'	962	78	75	0.08108108	0.07796258	633	247	29	51	2	618	240	88	16	0	
don't	156	18	16	0.115384616	0.102564104	87	58	6	4	1	90	52	13	1	0	
know	39	4	3	0.102564104	0.07692308	19	16	1	3	0	23	12	3	1	0	
would	211	22	23	0.1042654	0.109004736	115	77	6	12	1	116	72	18	5	0	
then	98	8	9	0.08163265	0.091836736	57	35	4	2	0	64	21	11	1	1	
move	30	2	2	0.06666667	0.06666667	17	8	1	4	0	16	13	1	0	0	
8192	1	2	1	2.0	1.0	0	0	1	0	0	0	1	0	0	0	
down	9	6	6	0.6666667	0.6666667	3	4	2	0	0	2	5	2	0	0	
out	67	3	6	0.04477612	0.08955224	43	17	3	4	0	38	22	6	1	0	
of	497	50	45	0.100603625	0.09054326	306	151	10	27	3	267	178	39	13	0	
callers	4	2	1	0.5	0.25	1	2	1	0	0	2	2	0	0	0	
too	51	9	4	0.1764706	0.078431375	26	19	5	1	0	33	15	3	0	0	
like	108	6	11	0.055555556	0.10185185	9	88	7	4	0	66	34	7	1	0	
way	61	12	8	0.19672132	0.13114753	37	12	7	5	0	34	23	3	1	0	
you	392	49	38	0.125	0.096938774	242	122	16	12	0	249	111	29	3	0	
went	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
for	413	41	36	0.09927361	0.08716707	233	137	21	21	1	247	127	34	5	0	
rather	27	4	3	0.14814815	0.11111111	15	9	2	1	0	12	13	2	0	0	
than	55	4	5	0.07272727	0.09090909	29	19	2	4	1	26	23	4	2	0	
implementing	3	0	0	0.0	0.0	2	0	0	1	0	3	0	0	0	0	
missing	22	2	3	0.09090909	0.13636364	15	6	0	1	0	16	4	2	0	0	
read	37	2	2	0.054054055	0.054054055	23	12	1	1	0	22	12	2	1	0	
(	597	50	72	0.083752096	0.12060302	377	184	14	19	3	347	200	38	12	0	
s	26	0	1	0.0	0.03846154	20	6	0	0	0	20	5	0	1	0	
what	116	6	10	0.05172414	0.0862069	88	24	2	2	0	64	42	6	4	0	
i'd	25	1	1	0.04	0.04	13	11	0	1	0	18	4	2	1	0	
actually	46	6	3	0.13043478	0.06521739	25	16	4	1	0	27	11	7	1	0	
how	58	8	4	0.13793103	0.06896552	31	21	3	3	0	34	21	1	2	0	
about	82	7	7	0.085365854	0.085365854	47	25	3	6	1	49	26	6	0	1	
go	35	4	4	0.114285715	0.114285715	23	9	2	1	0	22	5	5	2	1	
one	136	14	11	0.10294118	0.080882356	93	32	7	4	0	85	47	3	1	0	
further	6	2	1	0.33333334	0.16666667	4	1	1	0	0	5	1	0	0	0	
have	239	21	21	0.087866105	0.087866105	143	66	11	18	1	138	82	13	6	0	
static	26	2	1	0.07692308	0.03846154	16	9	1	0	0	0	25	1	0	0	
similar	16	2	2	0.125	0.125	10	5	0	1	0	12	3	1	0	0	
