id,proj_comment_id,request_id,in_reply_to,patchset_id,file_name,line_number,author_id,written_on,message,project_url,asbosu,toufique,jake,final_rating,consensus,neutral_without_consensus
1,AAAA%2B3%2F%2F8SA%3D,20467,AAAA%2B3%2F%2F8UA%3D,1,include/telephony/ril.h,1134,1001401,1/18/2011 1:08,GSM isn't in the original list which is why it isn't in the enum.,https://android-review.googlesource.com/,0,0,0,0,1,Inc
2,7a47dbec_67642008,114948,NULL,4,android/src/com/android/tools/idea/welcome/ArchiveType.java,30,1019910,11/18/2014 0:26,"Since we are not really using any methods from Collections, and only iterating through elements, having String arrays is good enough.",https://android-review.googlesource.com/,0,0,1,0,0,Ex
3,AAAAo3%2F%2F%2F1U%3D,12086,NULL,1,libc/unistd/signame.c,3,1000660,11/4/2009 22:55,"We very much prefer to not record that information in the source tree, the change history contains that information.",https://android-review.googlesource.com/,0,-1,0,0,0,Ex
4,b00894ac_5d52f760,109570,b00894ac_c29cc6d0,4,src/com/google/gct/idea/samples/SampleBrowserStep.java,216,1022272,10/14/2014 18:59,"Yeah, we can file a bug against android or just fix it and submit a patch.",https://android-review.googlesource.com/,1,1,0,1,0,Inc
5,5e49184c_60ec507c,68892,NULL,2,luni/src/main/java/libcore/io/IoUtils.java,133,1003224,10/30/2013 16:08,"when i was suggesting flipping the boolean, i did also wonder whether we wouldn't be better off just passing in the length. if it's <= 0, interpret that as ""don't know""? that would then move 8192 down out of the callers too.

or... i really like the way you went for readFully rather than implementing the missing read()s, which is what i'd actually imagined. how about we go one further and just have a static fromFile or similar? then it could do the stat, and have everything it needs. you could even use Libcore.os open/fstat/read/close to avoid the RandomAccessFile without increasing the overall amount of code.",https://android-review.googlesource.com/,1,1,1,1,1,Inc
6,7037fbc3_898df929,102810,9032afd1_b09060cf,35,android/guiTestSrc/com/android/tools/idea/tests/gui/framework/fixture/ideFrameComponents/ExecutionToolWindowFixture.java,131,1047759,9/26/2014 23:46,"Ohhh. I have a white background, so I didn't catch the yellow highlight. Thanks!",https://android-review.googlesource.com/,1,0,1,1,0,Inc
7,AAAA%2FX%2F%2F%2Bec%3D,22016,AAAA%2FX%2F%2F%2Biw%3D,1,tools/emulator/opengl/tests/gles_android_wrapper/egl_dispatch.h,22,1005670,3/28/2011 16:18,The code in this library was generated by emugen and then manually modified ('vi' transformations) to match this library need. This code will be replaced with driver implementation.,https://android-review.googlesource.com/,0,0,0,0,1,Inc
8,36f65b4a_e6ec0629,99906,NULL,8,android/src/com/android/tools/idea/wizard/FormFactorSdkControls.java,52,1047533,7/29/2014 17:55,"Per our discussion, make this a class that's just the combobox? Maybe like AndroidApiCombo?",https://android-review.googlesource.com/,0,0,0,0,1,Inc
9,35b576f8_f149ea8d,112844,d59c1a86_07453a72,1,test/etc/run-test-jar,237,1041833,11/3/2014 16:19,"I believe adding ""x"" is a safety measure for corner cases, and run-test itself uses it heavily. We should probably be consistent, but follow-up CL.",https://android-review.googlesource.com/,0,0,-1,0,0,Ex
10,64cbab66_e5463055,66161,NULL,1,file.te,43,1010111,9/24/2013 12:30,"Don't introduce new types unless you truly need them; they are supposed to be equivalence classes, and the more you define, the larger the policy will grow (GS4 policy has significant bloat due to unnecessary types that get _exactly_ the same allow rules as existing types).",https://android-review.googlesource.com/,-1,-1,-1,-1,1,Inc
