Term, TermFreq >= 1, PosClassDiff (correct-estimate), NegClassDiff, PosClassAvDiff, NegClassAvDiff, CorrectClass1pos, CorrectClass2pos, CorrectClass3pos, CorrectClass4pos, CorrectClass5pos, CorrectClass1neg, CorrectClass2neg, CorrectClass3neg, CorrectClass4neg, CorrectClass5neg, ,
two,15,3,0,0,-1,11,3,1,0,0,9,6,0,0,0, ,
methods,15,2,0,0,-1,9,6,0,0,0,12,3,0,0,0, ,
https,15,1,0,0,-1,9,6,0,0,0,9,5,0,1,0, ,
bug,15,0,0,0,-0.5,10,5,0,0,0,0,15,0,0,0, ,
there's,15,0,0,0,-0.5,8,6,1,0,0,8,4,3,0,0, ,
exception,14,2,0,0,-0.5,8,5,1,0,0,5,6,0,3,0, ,
empty,14,0,0,0,-0.5,11,3,0,0,0,5,8,1,0,0, ,
$request,2,0,6,2,0,0,2,0,0,0,0,0,0,2,0, ,
getval,2,0,6,2,0,0,2,0,0,0,0,0,0,2,0, ,
magazine,1,1,2,2,0,0,1,0,0,0,0,0,0,1,0, ,
performant,1,1,2,2,0,0,1,0,0,0,0,0,0,1,0, ,
pseudo,1,1,2,2,0,0,1,0,0,0,0,0,0,1,0, ,
putcomment,1,1,2,2,0,0,1,0,0,0,0,0,1,0,0, ,
reimplement,1,1,2,2,0,0,1,0,0,0,0,0,1,0,0, ,
replacing,1,1,2,2,0,0,1,0,0,0,0,0,1,0,0, ,
selectors,1,1,2,2,0,0,1,0,0,0,0,0,0,1,0, ,
shorten,1,1,2,2,0,0,1,0,0,0,0,0,1,0,0, ,
smashing,1,1,2,2,0,0,1,0,0,0,0,0,0,1,0, ,
swear,1,1,2,2,0,0,1,0,0,0,0,0,0,1,0, ,
unchaned,1,1,2,2,0,0,1,0,0,0,0,0,1,0,0, ,
ism,1,0,2,2,0,1,0,0,0,0,0,0,1,0,0, ,
mod,1,0,2,2,0,1,0,0,0,0,0,0,1,0,0, ,
pcm,1,0,2,2,0,1,0,0,0,0,0,0,1,0,0, ,
score,1,0,2,2,0,1,0,0,0,0,0,0,1,0,0, ,
standard,1,0,2,2,0,1,0,0,0,0,0,0,1,0,0, ,
413,1,1,3,2,0,0,1,0,0,0,0,0,0,1,0, ,
baed,1,1,3,2,0,0,1,0,0,0,0,0,0,1,0, ,
lib64,1,1,3,2,0,0,1,0,0,0,0,0,0,1,0, ,
python2,1,1,3,2,0,0,1,0,0,0,0,0,0,1,0, ,
socketserver,1,1,3,2,0,0,1,0,0,0,0,0,0,1,0, ,
tcp,1,1,3,2,0,0,1,0,0,0,0,0,0,1,0, ,
hostpattern,1,1,2,1.3333334,0,0,1,0,0,0,0,0,1,0,0, ,
snd,2,0,4,1.2,0,2,0,0,0,0,0,0,2,0,0, ,
2,35,15,22,1,0,17,17,1,0,0,16,9,6,4,0, ,
4,18,5,11,1,0,12,5,1,0,0,6,5,7,0,0, ,
php,10,0,6,1,0,8,2,0,0,0,5,1,3,1,0, ,
submit,10,10,7,1,0,3,5,1,1,0,3,6,1,0,0, ,
title,9,1,6,1,0,6,3,0,0,0,6,1,0,2,0, ,
approve,8,1,5,1,0,0,7,1,0,0,4,2,1,1,0, ,
passed,7,1,4,1,0,4,3,0,0,0,1,3,2,1,0, ,
our,7,1,5,1,0,2,4,1,0,0,2,2,2,1,0, ,
ah,6,0,4,1,0,3,2,1,0,0,2,2,1,1,0, ,
enum,6,0,4,1,0,3,3,0,0,0,2,2,2,0,0, ,
down,6,6,6,1,0,1,3,2,0,0,0,4,2,0,0, ,
verified,6,1,6,1,0,2,4,0,0,0,1,2,2,1,0, ,
py,5,1,3,1,0,0,5,0,0,0,3,1,0,1,0, ,
script,5,1,3,1,0,4,1,0,0,0,2,2,1,0,0, ,
approved,5,0,3,1,0,1,4,0,0,0,3,1,1,0,0, ,
catch,5,0,3,1,0,0,3,2,0,0,3,1,0,1,0, ,
team,5,0,3,1,0,3,2,0,0,0,2,2,1,0,0, ,
inline,5,2,4,1,0,3,1,1,0,0,1,2,1,1,0, ,
close,5,0,4,1,0,5,0,0,0,0,3,0,2,0,0, ,
